address,pool_id,airdrop_amount,debt_total
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,678,"94781904ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,83396400uosmo","119033377ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,106459630uosmo"
osmo1lr96tt6u0jmvfvladzq0dd808wmkqt88pg36dh,1,"1806311ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,14129418uosmo","2613667ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,22019680uosmo"
osmo1lvgxhqamdq8j9a7853uap5lg9j3tafw5gvx06u,678,"2486452ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,2187772uosmo","6251715ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,5591333uosmo"
osmo1lvxcql4c9yeec8spuaspeq5j5slnd27g6zdh0a,704,"152757587958255639ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,238937411uosmo","2953991272256795861ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,4814933845uosmo"
osmo1mj64cp8hqy94gkl4du6vltl4d5e2vl9ueutauc,1,"231091ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1807646uosmo","2574285ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,21687899uosmo"
osmo1mmys3azcw9decct8e38w26zv9vz9q9u2e3dzrd,1,"4404ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,34455uosmo","69971ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,589499uosmo"
osmo1mps6xxwv99m7q2ecfmz9ya3lkc5ny2ttzdkkme,712,"34930ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,9364175uosmo","38591ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,10705446uosmo"
osmo1mwaclkwjfe4hdl0ly47682ppd3p9vfuzdrwaef,704,"332460080397237ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,520021uosmo","6451077995531440ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,10515100uosmo"
osmo1n0r5zq8a49dp29mheyjj7uc5ld5s4tm6fr6k2m,678,"66339794ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,58370847uosmo","447861846ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,400553253uosmo"
osmo1n0yf6xfv8gj4wxm78x2uelj3y6u2fhd6u47kxa,712,"5699ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1527870uosmo","53428ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,14821142uosmo"
osmo1n36lj72rmwh7p95g7n0ggnr2ngq6ghpzwpkd88,678,"3077604ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,2707912uosmo","6929823ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,6197811uosmo"
osmo1n6mqdxjlwvda8zgcw5t503gprnhn6gvs787drw,704,"184458224973959ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,288522uosmo","1447903757985560ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2360047uosmo"
osmo1nc705prrl66jnaszgkufny6py0g5ehlvml8xhz,678,"17636504ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,15517951uosmo","24554439ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,21960702uosmo"
osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,"2428523ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,651052160uosmo","10189399ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2826578004uosmo"
osmo1nscqpyukjl80zvuz024aspry0rk60279q4enuj,712,"2018ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,541073uosmo","17170ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,4763050uosmo"
osmo1nvr4q6tjz983hmy8ax3hcsplkehjww3dggpuaj,678,"15420321ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,13567983uosmo","104121159ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,93122621uosmo"
osmo1nzqqnq3scw2qakr4qxw7fjs2vakvaff0ne539r,712,"10436ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2797683uosmo","100305ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,27825190uosmo"
osmo1p4tfy2vf8y5vd85g9e82936tkh9l3h8h4cdxzu,1,"1389643ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10870139uosmo","22075226ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,185979855uosmo"
osmo1p78tc6pffpwepws0h4q7q2j79z3uyerwva9seg,678,"60047ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,52834uosmo","110232ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,98588uosmo"
