address,pool_id,shares_inflated,shares_inflated_locked,tokens_stolen,tokens_owed
osmo14sl6xrp9f5g547atrvccsrdyffflxxv28x4m7k,1,2114654314363754928,,,
osmo14sr40ga620h7r26npfccrn5d694xjxfsnjkqjv,1,,,,"59ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,461uosmo"
osmo14uk9dwujeplqxf9ee7tjk3atca9pkp3e0g5cpf,1,0,6427314500079180,,
osmo14vae3yzzm43j4uc6x82e0ltxaxwjlu2szdm2tv,1,37058780472918276591,,,
osmo14vazvwyks97lz6hn0gukfpuhw6lzz7rkwexvgj,1,0,560770715869145,,
osmo14wlynmadmv8s5nyq57xs7uysd0j66aye88zstn,1,0,110395754227074263,,
osmo14yu3tem924nrjt60r6k6mgnhy8vmy9gxxd9v0r,1,222364774570735359368,,,
osmo1504pmhtrx6usvw2me6t3wgztypztf8m2l5mp5m,1,0,868528273747656666,,
osmo154wa0w4enkrecj00ws02y2pf9429wvdjqk04xx,1,0,728697745493699,,
osmo158nm2fsv70dq74ed8e3ccs6e44c3e65kqmxfut,1,0,30517711278270311074,,
osmo15ez8twgazsgytavyyffzrwafujng0yczvsmedk,1,,,,"157ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1240uosmo"
osmo15h8zkkkeh7s3tmxguxdxfl6e4vk7ea77r4xsvw,1,0,999712872370957,,
osmo15m25vkvqa63kap50g7j8kjk9h3w3sme8c08lfj,1,0,1789328116869793646,,
osmo15mg29cqfeh8kl5l8uggnsrwf54mehfgmazdkxu,1,0,7055398335217549591,,
osmo15n55gg026eaz6qadlxtx37cya22jmyd88l59p2,1,0,229054138971480,,
osmo15njalgyjduf007q5nnkn02qsx7duq2khdkjdm9,1,0,2580153429947,,
osmo15qg37vyvz4tgsnlleg0m9zjf2sz64ty9nwzdxm,1,0,980702403245959182,,
osmo15qqsnsa2yqweqasnahke6vcgc0pgd692295cdz,1,0,7388556510936400462,,
osmo15u4c3rpyy22ne9tv46jxh82c4cu07varm8zvu3,1,0,268160397313735594537,,
osmo15uz5s3ha9s4whdsyqxnufzxfq77qu5a3zvenph,1,0,491346512564380170,,
osmo15wk3htq4p024tfc6nagvgusra0tlt3hhv2sw9d,1,0,667119527324108364376,,
osmo15xd27scs3q7kznwmzdl7jdnzz9hvff20p7fkd2,1,0,31584524212742404,,
osmo15zj829htn7uzqyaaktxc0z6ew7rkw6frsh6n4k,1,0,1139801617948054,,
osmo160mmugczxuzzat5lwu6h2cxm9a0anthnfhy8mh,1,0,15294439441854,,
osmo162rr7lw735l9276wqewd2ygmq4x8xe0qhkjr9f,1,0,11175092873921283245,,
osmo164zttnpu52tkjjcmq42ts0nfu0872wfm5ahyld,1,0,6858404802645067,,
osmo166cfn9s7qa0klrj7t0ru35pp34yxvqdlhsqlfy,1,0,120544685678047728333,,
osmo16ars5rflyxqkfamdfs96fj6ncz27xuvw93cdfs,1,0,143458495777751961,,
osmo16ephlhnsf04f76hcfsawxq5s2zqpmsdctxlrd2,1,0,901748550855473,,
osmo16es0x30h7hwm369adp5vy7prmzl75l6qdkfwsc,1,,,,"76ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,604uosmo"
osmo16g5xl2ry9yzul8wnarc7ckx7vl5y7g8qpca2xa,1,,,,"5ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,39uosmo"
osmo16h0yyryfjmmhgj3ct6ndl7gcy4r3krf0gfrzky,1,0,99221504199539973733,,
osmo16rsads8yuva44gv9qavdtln39gva8tx2cqvlva,1,0,2759142492311783,,
osmo16vrdu9dkrcvmanl2tpgx0uaqzc5gu6y3x96tru,1,,,,"157ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1241uosmo"
osmo16vv787yp99xmw77dvwxs2kc3jsguz84hu3kv0x,1,0,19045578077512,,
osmo16wsm76rxg3m2nhmnlvuc73yu8dnkvxtzdhnpjl,1,0,991842429933625055,,
osmo172dj09xqvvp98cg2evsmdae2n9n3886dquc98w,1,928833453178,,,
osmo174wunrwwq7rfxq363lg62vxnv0h5lzaqg7q00g,1,0,84813656112951016979,,
osmo175fm40ejc9svlampmjee3ee3wzn6qj55nvl7rv,1,1,4709262023154748347,,
osmo178s275svy3n97c82vdglhv6m8j56yc30msgxmr,1,,,,"35ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,273uosmo"
osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,1,,,,"1ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,8uosmo"
osmo17e827n4m2qwt2xrzts60w9mtesexcpxzwzuzcd,1,0,33251582487432814855,,
osmo17ejnh38yrylffpyd06dnc0nm5nf9wh3qhkf4tw,1,0,2442520217853062,,
osmo17g4wqps05ah36kp3u7pqpcphe0klfu6v8dftev,1,0,521249282542747151,,
osmo17kexyhxc98pnncv9rh4huzqv5423tt5r4krw9u,1,0,54734928123221221,,
osmo17l4rsnfmjhp6ysjq8l0cuka92jydy7ntlp608d,1,0,1595166327212593606,,
osmo17lrwhxxmm5zwcwhp2q0alwztrvmuysxesu6vph,1,0,37903212550249,,
osmo17newevzrcmwfu89n4w8fu0ywyn5fs8dqm3vhs4,1,0,195558051545831457964,,
osmo17p5jcrsshnz8r6ghrhw2u934kemrd25krvd7ep,1,0,962659221063664,,
osmo17qc3ms3pcmh0svlu0lkamzw622fdvt6pk24057,1,0,2955432118859258947,,
osmo17qtse2d46vxg0p0q7pdnxzfd3vq56z4tc0h2n6,1,0,120051,,
osmo180ra5xfnh83s70lrgdlv8cptssmpwnqr90vwsa,1,0,1614959990446393,,
osmo18hhw82dsrv4xy0r9xh3ld2z4hkn3lnakvlrh89,1,0,61685156117263411800,,
osmo18jdp4pal7amfwgy6qq6h399zfll5f2t6mhf6td,1,0,7462796220119438,,
osmo18jp339rv9m0fzfwl7req8qhjhm6qtre2at6znv,1,0,1953605402668432,,
osmo18p3f0223j9mmxv07rs7hsvha5gs6dnrep2gqkl,1,0,234164953533238082529,,
osmo18qr09v40am0m82tvedysf8872k6e7hkj2jxhnp,1,0,17417698521005,,
osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,0,,"155854901139ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1218849678601uosmo",
