height,txhash,code,gas_wanted,gas_used,timestamp,@type,poolId,sender,shares,token0_denom,token0_amount,token1_denom,token1_amount
4707402,E127B37A8B69B5F4E770CDC06BDB90FE3CC7CFCD5AF6E619A5D9B41402053916,0,300000,182353,2022-06-07T16:49:40Z,/osmosis.gamm.v1beta1.MsgExitPool,498,osmo1ssxqvhz3datp0apqkf4tkyjm95qesd4dx6w7mp,12199750010717854934,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5209062,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,12922699
4707406,D44D8E4C64007F58F6DF59D1370A9583AB041BF53F74ABA3FA793C554CB9D458,0,250000,110601,2022-06-07T16:50:05Z,/osmosis.gamm.v1beta1.MsgExitPool,629,osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,1114753448896793581,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,94440124438683147401496,uosmo,735396275
4707407,0588C038C4E609AD838CD96B79EDD1747D19821978057795DB9266550DA617E4,0,250000,110634,2022-06-07T16:50:11Z,/osmosis.gamm.v1beta1.MsgJoinPool,497,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,2091865312280120072,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,2049995,uosmo,6480708
4707408,02E6999F236E413D13DCD69EC43F21D58DC277D1146C2B1F261425C31D818878,0,250000,76404,2022-06-07T16:50:29Z,/osmosis.gamm.v1beta1.MsgJoinPool,722,osmo17urqyrawvju9u3t345d6v3e5ty3mk3hft3aa3v,27925147185923666858,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,3037569254057128036,uosmo,5659684
4707409,9C67301C0ED2704528D58747C63D5E6C9118A5948F7A08EB6826BBD44B5379D8,0,500000,160265,2022-06-07T16:50:40Z,/osmosis.gamm.v1beta1.MsgExitPool,629,osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,1114753448896793581,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,94440124438683152978605,uosmo,735396275
4707409,FF4C501C448CF72AE2CFF77AE691E0C78A3B38CDF9D70277908C216ABB784875,0,130000,97688,2022-06-07T16:50:40Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,183626017050300219558,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2555728,uosmo,19899780
4707409,FF4C501C448CF72AE2CFF77AE691E0C78A3B38CDF9D70277908C216ABB784875,0,130000,97688,2022-06-07T16:50:40Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,183626017050300219558,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2555728,uosmo,19899780
4707409,085DA30FCB09649137D68FE768827049107816240B6D150FD90EA355F389849D,0,300000,169029,2022-06-07T16:50:40Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1ufvxkljcsy9u38vjj06j2x0fxy962xwxgmdfa0,1018339068473571383,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,14172,uosmo,110358
4707411,FF90FCEE2CA370A1834776F520C00C9897DDCD4C82F2292915759726C93FADC3,0,130000,113307,2022-06-07T16:50:53Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,73453499873432897544,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1022332,uosmo,7960254
4707411,4AD54BEA11432599286B7D7A20E8285579739D97D096F28B0A781784CFBA063A,0,240000,131965,2022-06-07T16:50:53Z,/osmosis.gamm.v1beta1.MsgJoinPool,712,osmo1evxw84lfmevdajh6xelu4rp46kux8fmjxkw4sr,3640488243767828359,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,102607,uosmo,27556797
4707414,198B657356032CCE382145638365B514686ECEA265EEE58BA4B8B02B7CA9215A,0,250000,97851,2022-06-07T16:51:16Z,/osmosis.gamm.v1beta1.MsgJoinPool,9,osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,57781486044010012417808,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,50601461232,uosmo,79136405
4707414,198B657356032CCE382145638365B514686ECEA265EEE58BA4B8B02B7CA9215A,0,250000,97851,2022-06-07T16:51:16Z,/osmosis.gamm.v1beta1.MsgJoinPool,9,osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,57781486044010012417808,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,50601461232,uosmo,79136405
4707421,139A6511142E2FA32E197A00D3846666A81BB215F21804E0D07BF11E377F0A5D,0,130000,97602,2022-06-07T16:52:00Z,/osmosis.gamm.v1beta1.MsgJoinPool,704,osmo1zf9wvyqsk8qqu3leavjxna8mwlvkxd3x96fgcz,68953078017582757322,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,540979509132932147,uosmo,862498550
4707421,97F200516E75BEFBB3F22A0E9294E720C1952C94165CD87709FF6BDD23C95B8D,0,500000,323639,2022-06-07T16:52:00Z,/osmosis.gamm.v1beta1.MsgJoinPool,712,osmo1m6jkgwxj35a77k7n67nj5susc84m5n6mfy3ku0,16037747007767963022,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,452026,uosmo,121398420
4707431,1D154A4A2AFEFF8F2C74361CA0DD59DA2A4E9746A6D9ABAA7B78323009ACF361,0,500000,174800,2022-06-07T16:53:08Z,/osmosis.gamm.v1beta1.MsgJoinPool,648,osmo1jr6mlu93x74ffpfvswkav33pxzqa8puujztrc4,338425905531169273126572,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,1086497865390988374561,uosmo,201889125
4707443,127AA62E513D9CD0FD83F0ED63238178586004FBD7E2187AEBA6380D6656E253,0,140000,105332,2022-06-07T16:54:38Z,/osmosis.gamm.v1beta1.MsgExitPool,1,osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,191723333654131736677,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2538297,uosmo,19763481
4707445,CCF7A721E126D8D8CEE4592C79CECAE294464BD900042C4A508FBD2E3F60CD47,0,100000,66762,2022-06-07T16:55:05Z,/osmosis.gamm.v1beta1.MsgJoinPool,678,osmo1c7zy976xxc64ymlny8qsts299ylqwmq52ysy7j,49329399918309211,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,254557,uosmo,228158
4707460,2A3815B0857C2902642D2B438DB8AB592DCBA794ADC307582500E4F590C67F02,0,455608,383092,2022-06-07T16:56:40Z,/osmosis.gamm.v1beta1.MsgJoinPool,641,osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,526593925551779616783,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,319667962,uosmo,8575992
4707460,2A3815B0857C2902642D2B438DB8AB592DCBA794ADC307582500E4F590C67F02,0,455608,383092,2022-06-07T16:56:40Z,/osmosis.gamm.v1beta1.MsgJoinPool,641,osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,526593925551779616783,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,319667962,uosmo,8575992
4707461,493FB93550B6DD31FA0090FE7961206498D13258A4582B3D8275C8EAA2941C25,0,438429,368776,2022-06-07T16:56:46Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1mnufmmgrvc6tpfe6ayr679xnmhkewcsgdjqmgn,5301374679646838756,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,73786,uosmo,574501
4707465,735D04C64CE2FFA0C9C3C45ED3B84E7EAC489DFBADBB908E7099DA9007E595C1,0,150000,73153,2022-06-07T16:57:11Z,/osmosis.gamm.v1beta1.MsgJoinPool,722,osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,169817821398648732364,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,18437924539775570348,uosmo,34480881
4707465,735D04C64CE2FFA0C9C3C45ED3B84E7EAC489DFBADBB908E7099DA9007E595C1,0,150000,73153,2022-06-07T16:57:11Z,/osmosis.gamm.v1beta1.MsgJoinPool,722,osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,169817821398648732364,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,18437924539775570348,uosmo,34480881
4707465,735D04C64CE2FFA0C9C3C45ED3B84E7EAC489DFBADBB908E7099DA9007E595C1,0,150000,73153,2022-06-07T16:57:11Z,/osmosis.gamm.v1beta1.MsgJoinPool,722,osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,169817821398648732364,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,18437924539775570348,uosmo,34480881
4707482,222D6E188933F00E6A54E7F240FD67081A81DE363AF2B28F2163E8926DC4DADA,0,250000,104773,2022-06-07T16:59:08Z,/osmosis.gamm.v1beta1.MsgJoinPool,9,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,20699374509342622135325,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,18142500000,uosmo,28324452
4707482,222D6E188933F00E6A54E7F240FD67081A81DE363AF2B28F2163E8926DC4DADA,0,250000,104773,2022-06-07T16:59:08Z,/osmosis.gamm.v1beta1.MsgJoinPool,9,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,20699374509342622135325,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,18142500000,uosmo,28324452
4707482,222D6E188933F00E6A54E7F240FD67081A81DE363AF2B28F2163E8926DC4DADA,0,250000,104773,2022-06-07T16:59:08Z,/osmosis.gamm.v1beta1.MsgJoinPool,9,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,20699374509342622135325,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,18142500000,uosmo,28324452
4707490,15F78DBA3A07BC7B676747DF61CA60680B5DCEC8173565E31C06E24A555DC712,0,500000,156517,2022-06-07T17:00:03Z,/osmosis.gamm.v1beta1.MsgJoinPool,641,osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,53380778811357120629,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,32384105,uosmo,868792
4707490,15F78DBA3A07BC7B676747DF61CA60680B5DCEC8173565E31C06E24A555DC712,0,500000,156517,2022-06-07T17:00:03Z,/osmosis.gamm.v1beta1.MsgJoinPool,641,osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,53380778811357120629,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,32384105,uosmo,868792
4707490,15F78DBA3A07BC7B676747DF61CA60680B5DCEC8173565E31C06E24A555DC712,0,500000,156517,2022-06-07T17:00:03Z,/osmosis.gamm.v1beta1.MsgJoinPool,641,osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,53380778811357120629,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,32384105,uosmo,868792
4707493,345673B779F3E747DD18615984DB4E818495ED9C3DCD68596B0975EC57EBA13D,0,130000,112404,2022-06-07T17:00:22Z,/osmosis.gamm.v1beta1.MsgExitPool,704,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,6898407298396358576,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,51482227177588865,uosmo,82079314
4707495,7E0B23DA871FEEEECE505D7B64414B6C3CDB33947B791C760D17ED3FDF373471,0,150000,97693,2022-06-07T17:00:34Z,/osmosis.gamm.v1beta1.MsgJoinPool,674,osmo1lynjdpkq8gmw7lqr6jd7udh0xm68006g8p8hk0,2759041390259775984,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,8863060706915584332,uosmo,7939051
4707501,DFB4882079E7DAE93D428D7D57ED2AC132DE3EEF8440DA15A860BFCF688D2753,0,300000,232344,2022-06-07T17:01:12Z,/osmosis.gamm.v1beta1.MsgExitPool,561,osmo1jxdx4nszha3hu2q49tylqasuc8tjct5wusueyr,10654601568117750937,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,3517658395,uosmo,176524
4707508,51A93026AE03C5D3472E44E45BB15E1113EF3E28E9F3123E83085091345F4078,0,250000,61518,2022-06-07T17:01:56Z,/osmosis.gamm.v1beta1.MsgJoinPool,704,osmo1n6mqdxjlwvda8zgcw5t503gprnhn6gvs787drw,392546921957563317,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3079774622866677,uosmo,4910165
4707510,F6BF0CE581BD6AD8F936994DA01E7B75AA964586D4934D9ABD3D8FB90FDC21B6,0,450000,109813,2022-06-07T17:02:09Z,/osmosis.gamm.v1beta1.MsgExitPool,678,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,30747991637649960883,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,150977778,uosmo,135237229
4707515,C2C9282EAED631550921454F276BD0773AE12F8E34856AA7179D8B805A526EB9,0,500000,153666,2022-06-07T17:02:39Z,/osmosis.gamm.v1beta1.MsgJoinPool,604,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,4084387865056799,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,859663105,uosmo,24124901
4707519,47B75AAE092D4EA50A6F65D323BE170B52F7849603DFB290720D3D8E9D2458C9,0,523504,439672,2022-06-07T17:03:09Z,/osmosis.gamm.v1beta1.MsgJoinPool,712,osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,46645004246705321027,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1315098,uosmo,352964591
4707519,47B75AAE092D4EA50A6F65D323BE170B52F7849603DFB290720D3D8E9D2458C9,0,523504,439672,2022-06-07T17:03:09Z,/osmosis.gamm.v1beta1.MsgJoinPool,712,osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,46645004246705321027,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1315098,uosmo,352964591
4707526,0471FBFDD586FC9F321BD9156F748F1869FD75B9E8D9953307E7DECE81AE377A,0,250000,76277,2022-06-07T17:03:58Z,/osmosis.gamm.v1beta1.MsgExitPool,712,osmo1ptektdahwjdlh5s58u0p2yxn22jjfqcjc4e4yr,10000000000000000000,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,268173,uosmo,71976366
4707526,0471FBFDD586FC9F321BD9156F748F1869FD75B9E8D9953307E7DECE81AE377A,0,250000,76277,2022-06-07T17:03:58Z,/osmosis.gamm.v1beta1.MsgExitPool,712,osmo1ptektdahwjdlh5s58u0p2yxn22jjfqcjc4e4yr,10000000000000000000,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,268173,uosmo,71976366
4707527,D1559E68F48CDC4FA0828B2D025A6369030A7465AA4692F9D99A4E8ECBAAD68E,0,250000,61518,2022-06-07T17:04:04Z,/osmosis.gamm.v1beta1.MsgJoinPool,601,osmo1heqtu4cum6fs9rg9mj754ycvfdgl9ssm3n8j6n,563064762574176803,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,42936868,uosmo,12275240
