@type,address,id,future_pool_governor,totalWeight,height,poolParams.swapFee,poolParams.exitFee,poolParams.smoothWeightChangeParams,totalShares.denom,totalShares.amount,token0_weight,token0_token.denom,token0_token.amount,token1_weight,token1_token.denom,token1_token.amount
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707300,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5329499341981,536870912000000,uosmo,41518752051968
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707301,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333103252283,536870912000000,uosmo,41490751336000
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707302,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333103252283,536870912000000,uosmo,41490751336000
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707303,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707304,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707305,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707306,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707307,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707308,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
/osmosis.gamm.v1beta1.Pool,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,1,24h,1073741824000000,4707309,0.002000000000000000,0.000000000000000000,,gamm/pool/1,392592793467905831158362018,536870912000000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5333053099388,536870912000000,uosmo,41491142303683
