block,code,msg_type,sender,pool_id,share_out,denom_1,amount_1,denom_2,amount_2
4708159,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1w4wmdddnq2xkv2n2242d6jnfwx4n54wftxv7hy,722,751989862171577368,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,52364498992219780,uosmo,100643
4708159,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1y3q4fxrmz0d3zd7enl0h39dvnp3tcrtncmpdt4,605,1086030842337809868404,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,3997536549,uosmo,163313
4708159,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo17k77uha20jnvyfzfns7x58uvqx7cxnvxdwht4s,704,1873807709881139996,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,9587428009122985,uosmo,15186803
4708161,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo12llk842x8c8u34ay29npmpa8cd7z6lkx9jtud3,1,82677557757931512888,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,746599,uosmo,5845796
4708162,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1cu674e4ezhs4drg6sxn3d32mv7h3r2ns9v9mvj,704,406352853035535917,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2079120808532011,uosmo,3293396
4708163,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo17g0ah6r5hzfnw7am4xx3nlxyr4rs40qqaqvadz,619,468383836690745377,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,5512379,uosmo,100338
4708163,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1dj88tnqzqm5hzmvtzm7cz49fk78kwhghnqczru,678,2244395064825955347,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,7579730,uosmo,6714199
4708164,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qu38kpyn4h0yg6ujad3jwg2dx5l9drdeeztkr,641,426862465742566884850,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,169229194,uosmo,4500107
4708164,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1gca7xukpr7twa0dufw4q4vuqt4g26lxdm9etx8,618,3713640801741471304,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,139590,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,59648004
4708165,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1y3q4fxrmz0d3zd7enl0h39dvnp3tcrtncmpdt4,641,10245237055240176728,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,4061691,uosmo,108008
